discount_factor,learn_rate_policy,learn_rate_value,hidden_dim_policy,hidden_dim_value,init_temp,result
0.985,0.0001,0.001,256,256,1.05,34.8325333333333
0.985,0.0001,0.001,256,256,1.1,36.052
0.985,0.0001,0.001,256,256,1.15,34.6482666666667
0.985,0.0001,0.0001,64,64,1.05,25.3002666666667
0.985,0.0001,0.0001,64,64,1.1,24.3072
0.985,0.0001,0.0001,64,64,1.15,25.4962666666667
0.985,0.0001,0.0001,64,128,1.05,25.0685333333333
0.985,0.0001,0.0001,64,128,1.1,26.7002666666667
0.985,0.0001,0.0001,64,128,1.15,24.2824
0.985,0.0001,0.0001,64,256,1.05,24.3930666666667
0.985,0.0001,0.0001,64,256,1.1,24.3512
0.985,0.0001,0.0001,64,256,1.15,24.1392
0.985,0.0001,0.0001,128,64,1.05,27.2789333333333
0.985,0.0001,0.0001,128,64,1.1,29.8090666666667
0.985,0.0001,0.0001,128,64,1.15,29.5797333333333
0.985,0.0001,0.0001,128,128,1.05,28.1357333333333
0.985,0.0001,0.0001,128,128,1.1,29.3106666666667
0.985,0.0001,0.0001,128,128,1.15,26.5829333333333
0.985,0.0001,0.0001,128,256,1.05,28.1594666666667
0.985,0.0001,0.0001,128,256,1.1,28.4933333333333
0.985,0.0001,0.0001,128,256,1.15,26.7786666666667
0.985,0.0001,0.0001,256,64,1.05,33.684
0.985,0.0001,0.0001,256,64,1.1,31.5426666666667
0.985,0.0001,0.0001,256,64,1.15,34.4741333333333
0.985,0.0001,0.0001,256,128,1.05,33.1749333333333
0.985,0.0001,0.0001,256,128,1.1,34.1392
0.985,0.0001,0.0001,256,128,1.15,32.6128
0.985,0.0001,0.0001,256,256,1.05,33.4738666666667
0.985,0.0001,0.0001,256,256,1.1,32.3448
0.985,0.0001,0.0001,256,256,1.15,33.1125333333333
0.99,0.01,0.01,64,64,1.05,143.336533333333
0.99,0.01,0.01,64,64,1.1,155.604266666667
0.99,0.01,0.01,64,64,1.15,145.0224
0.99,0.01,0.01,64,128,1.05,142.611733333333
0.99,0.01,0.01,64,128,1.1,158.812533333333
0.99,0.01,0.01,64,128,1.15,158.528533333333
0.99,0.01,0.01,64,256,1.05,152.306133333333
0.99,0.01,0.01,64,256,1.1,143.953866666667
0.99,0.01,0.01,64,256,1.15,168.393333333333
0.99,0.01,0.01,128,64,1.05,156.349066666667
0.99,0.01,0.01,128,64,1.1,102.633866666667
0.99,0.01,0.01,128,64,1.15,105.0328
0.99,0.01,0.01,128,128,1.05,119.5096
0.99,0.01,0.01,128,128,1.1,124.900266666667
0.99,0.01,0.01,128,128,1.15,152.540533333333
0.99,0.01,0.01,128,256,1.05,120.813066666667
0.99,0.01,0.01,128,256,1.1,123.263733333333
0.99,0.01,0.01,128,256,1.15,106.569066666667
