discount_factor,learn_rate_policy,learn_rate_value,hidden_dim_policy,hidden_dim_value,init_temp,result
0.985,0.01,0.01,64,128,1.1,15.330133333333333
0.985,0.01,0.01,64,128,1.15,16.502133333333333
0.985,0.01,0.01,64,256,1.05,12.0448
0.985,0.01,0.01,64,256,1.1,15.886666666666667
0.985,0.01,0.01,64,256,1.15,19.959200000000003
0.985,0.01,0.01,128,64,1.05,15.67013333333333
0.985,0.01,0.01,128,64,1.1,20.565066666666667
0.985,0.01,0.01,128,64,1.15,25.362933333333338
0.985,0.01,0.01,128,128,1.05,20.7352
0.985,0.01,0.01,128,128,1.1,14.902933333333333
0.985,0.01,0.01,128,128,1.15,22.7024
0.985,0.01,0.01,128,256,1.05,24.229599999999998
0.985,0.01,0.01,128,256,1.1,17.209866666666667
0.985,0.01,0.01,128,256,1.15,15.879733333333334
0.985,0.01,0.01,256,64,1.05,26.188266666666664
0.985,0.01,0.01,256,64,1.1,21.5744
0.985,0.01,0.01,256,64,1.15,20.8784
0.985,0.01,0.01,256,128,1.05,23.4144
0.985,0.01,0.01,256,128,1.1,21.196
0.985,0.01,0.01,256,128,1.15,23.014666666666663
0.985,0.01,0.01,256,256,1.05,23.392
0.985,0.01,0.01,256,256,1.1,20.184533333333334
0.985,0.01,0.01,256,256,1.15,26.404533333333337
0.985,0.01,0.001,64,64,1.05,19.077333333333332
0.985,0.01,0.001,64,64,1.1,17.422666666666668
0.985,0.01,0.001,64,64,1.15,24.236800000000002
0.985,0.01,0.001,64,128,1.05,13.155733333333334
0.985,0.01,0.001,64,128,1.1,20.876799999999996
0.985,0.01,0.001,64,128,1.15,15.2216
0.985,0.01,0.001,64,256,1.05,19.5704
0.985,0.01,0.001,64,256,1.1,18.961599999999997
0.985,0.01,0.001,64,256,1.15,19.7712
0.985,0.01,0.001,128,64,1.05,19.426133333333333
0.985,0.01,0.001,128,64,1.1,19.375466666666668
0.985,0.01,0.001,128,64,1.15,20.48186666666667
0.985,0.01,0.001,128,128,1.05,20.34453333333333
0.985,0.01,0.001,128,128,1.1,18.9976
0.985,0.01,0.001,128,128,1.15,14.291466666666665
0.985,0.01,0.001,128,256,1.05,20.2072
0.985,0.01,0.001,128,256,1.1,20.922666666666668
0.985,0.01,0.001,128,256,1.15,17.64053333333333
0.985,0.01,0.001,256,64,1.05,20.905066666666666
0.985,0.01,0.001,256,64,1.1,21.17653333333333
0.985,0.01,0.001,256,64,1.15,20.543466666666667
0.985,0.01,0.001,256,128,1.05,22.211733333333335
0.985,0.01,0.001,256,128,1.1,24.5032
0.985,0.01,0.001,256,128,1.15,21.54906666666667
0.985,0.01,0.001,256,256,1.05,21.075733333333332
0.985,0.01,0.001,256,256,1.1,23.605600000000003
0.985,0.01,0.001,256,256,1.15,23.176266666666667
0.985,0.01,0.0001,64,64,1.05,21.401866666666667
0.985,0.01,0.0001,64,64,1.1,23.049599999999998
0.985,0.01,0.0001,64,64,1.15,18.137066666666666
0.985,0.01,0.0001,64,128,1.05,21.354666666666667
0.985,0.01,0.0001,64,128,1.1,22.949866666666665
0.985,0.01,0.0001,64,128,1.15,17.131733333333333
0.985,0.01,0.0001,64,256,1.05,21.99013333333333
0.985,0.01,0.0001,64,256,1.1,18.9528
0.985,0.01,0.0001,64,256,1.15,17.7576
0.985,0.01,0.0001,128,64,1.05,23.914133333333332
0.985,0.01,0.0001,128,64,1.1,22.9
0.985,0.01,0.0001,128,64,1.15,22.766666666666666
0.985,0.01,0.0001,128,128,1.05,20.706666666666667
0.985,0.01,0.0001,128,128,1.1,24.513066666666663
0.985,0.01,0.0001,128,128,1.15,22.345066666666668
0.985,0.01,0.0001,128,256,1.05,17.162399999999998
0.985,0.01,0.0001,128,256,1.1,22.418400000000002
0.985,0.01,0.0001,128,256,1.15,22.947999999999997
0.985,0.01,0.0001,256,64,1.05,26.320533333333334
0.985,0.01,0.0001,256,64,1.1,24.745866666666664
0.985,0.01,0.0001,256,64,1.15,22.1392
0.985,0.01,0.0001,256,128,1.05,19.673333333333332
0.985,0.01,0.0001,256,128,1.1,26.676266666666663
0.985,0.01,0.0001,256,128,1.15,24.045066666666663
0.985,0.01,0.0001,256,256,1.05,26.270400000000002
0.985,0.01,0.0001,256,256,1.1,23.412266666666667
0.985,0.01,0.0001,256,256,1.15,22.601866666666663
0.985,0.001,0.01,64,64,1.05,14.733866666666666
0.985,0.001,0.01,64,64,1.1,18.395466666666668
0.985,0.001,0.01,64,64,1.15,18.438133333333333
0.985,0.001,0.01,64,128,1.05,17.26293333333333
0.985,0.001,0.01,64,128,1.1,17.372000000000003
0.985,0.001,0.01,64,128,1.15,15.7808
0.985,0.001,0.01,64,256,1.05,15.4208
0.985,0.001,0.01,64,256,1.1,17.582933333333333
0.985,0.001,0.01,64,256,1.15,17.123199999999997
0.985,0.001,0.01,128,64,1.05,18.745333333333335
0.985,0.001,0.01,128,64,1.1,14.586666666666668
0.985,0.001,0.01,128,64,1.15,17.4968
0.985,0.001,0.01,128,128,1.05,16.349600000000002
0.985,0.001,0.01,128,128,1.1,15.818666666666667
0.985,0.001,0.01,128,128,1.15,17.72506666666667
0.985,0.001,0.01,128,256,1.05,14.209066666666667
0.985,0.001,0.01,128,256,1.1,16.714666666666666
0.985,0.001,0.01,128,256,1.15,15.685866666666666
0.985,0.001,0.01,256,64,1.05,16.781333333333333
0.985,0.001,0.01,256,64,1.1,18.537333333333333
0.985,0.001,0.01,256,64,1.15,19.573866666666667
0.985,0.001,0.01,256,128,1.05,17.759733333333333
0.985,0.001,0.01,256,128,1.1,16.1264
0.985,0.001,0.01,256,128,1.15,18.798933333333334
0.985,0.001,0.01,256,256,1.05,15.193333333333333
0.985,0.001,0.01,256,256,1.1,19.035466666666668
0.985,0.001,0.01,256,256,1.15,13.9464
0.985,0.001,0.001,64,64,1.05,19.938399999999998
0.985,0.001,0.001,64,64,1.1,22.400266666666667
0.985,0.001,0.001,64,64,1.15,18.09466666666667
0.985,0.001,0.001,64,128,1.05,15.420266666666668
0.985,0.001,0.001,64,128,1.1,17.4432
0.985,0.001,0.001,64,128,1.15,20.904000000000003
0.985,0.001,0.001,64,256,1.05,16.766933333333334
0.985,0.001,0.001,64,256,1.1,17.920266666666667
0.985,0.001,0.001,64,256,1.15,20.1072
0.985,0.001,0.001,128,64,1.05,18.086133333333333
0.985,0.001,0.001,128,64,1.1,14.872
0.985,0.001,0.001,128,64,1.15,21.311466666666668
0.985,0.001,0.001,128,128,1.05,18.520533333333333
0.985,0.001,0.001,128,128,1.1,21.892266666666664
0.985,0.001,0.001,128,128,1.15,18.213866666666668
0.985,0.001,0.001,128,256,1.05,17.69786666666667
0.985,0.001,0.001,128,256,1.1,23.115733333333335
0.985,0.001,0.001,128,256,1.15,19.4712
0.985,0.001,0.001,256,64,1.05,18.0536
0.985,0.001,0.001,256,64,1.1,17.221333333333334
0.985,0.001,0.001,256,64,1.15,16.800533333333334
0.985,0.001,0.001,256,128,1.05,19.106933333333334
0.985,0.001,0.001,256,128,1.1,14.876266666666666
0.985,0.001,0.001,256,128,1.15,18.93226666666667
0.985,0.001,0.001,256,256,1.05,21.630933333333335
0.985,0.001,0.001,256,256,1.1,18.0968
0.985,0.001,0.001,256,256,1.15,23.0208
0.985,0.001,0.0001,64,64,1.05,16.938133333333333
0.985,0.001,0.0001,64,64,1.1,21.984
0.985,0.001,0.0001,64,64,1.15,21.23973333333333
0.985,0.001,0.0001,64,128,1.05,20.979999999999997
0.985,0.001,0.0001,64,128,1.1,18.491733333333332
0.985,0.001,0.0001,64,128,1.15,23.9344
0.985,0.001,0.0001,64,256,1.05,20.391466666666666
0.985,0.001,0.0001,64,256,1.1,22.345333333333333
0.985,0.001,0.0001,64,256,1.15,21.230933333333333
0.985,0.001,0.0001,128,64,1.05,18.993066666666664
0.985,0.001,0.0001,128,64,1.1,22.1296
0.985,0.001,0.0001,128,64,1.15,22.471466666666664
0.985,0.001,0.0001,128,128,1.05,19.488
0.985,0.001,0.0001,128,128,1.1,20.7456
0.985,0.001,0.0001,128,128,1.15,20.42133333333333
0.985,0.001,0.0001,128,256,1.05,20.617066666666666
0.985,0.001,0.0001,128,256,1.1,19.25386666666667
0.985,0.001,0.0001,128,256,1.15,19.15866666666667
0.985,0.001,0.0001,256,64,1.05,17.2856
0.985,0.001,0.0001,256,64,1.1,20.2424
0.985,0.001,0.0001,256,64,1.15,22.05946666666667
0.985,0.001,0.0001,256,128,1.05,21.423733333333335
